inpt,email,user_intent,selected_site,cpu_memory_details,selected_service,version,service_name,user_services_names,messages,selected_service_to_delete,generated_json_file,status,timestamp
,user1@example.com,deploy,,"{'cpu_limit': '500m', 'cpu_request': '250m', 'memory_limit': '256Mi', 'memory_request': '128Mi'}",,0.1.0,test1,['Select'],"[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'No services found for your email.'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'No services found for your email.'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}]",,"{'name': 'test1', 'blocks': [{'displayName': 'test1', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",running,2025-02-03T14:22:39.730764
,user1@example.com,delete,,"{'cpu_limit': '', 'cpu_request': '', 'memory_limit': '', 'memory_request': ''}",,,test1,"['Select', 'test1']","[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'user', 'content': 'Selected service to delete: test1'}]",test1,{},terminated,2025-02-03T14:24:11.584963
launch a service in nginx,user1@example.com,deploy,,"{'cpu_limit': '600m', 'cpu_request': '250m', 'memory_limit': '356Mi', 'memory_request': '128Mi'}",,0.1.0,u1_t1,"['Select', 'test1']","[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}]",,"{'name': 'u1_t1', 'blocks': [{'displayName': 'u1_t1', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",running,2025-02-03T14:28:23.664710
install new nginx service,user1@example.com,deploy,,"{'cpu_limit': '500m', 'cpu_request': '250m', 'memory_limit': '256Mi', 'memory_request': '128Mi'}",,0.1.0,tes2,"['Select', 'test1']","[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}]",,"{'name': 'tes2', 'blocks': [{'displayName': 'test2', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",running,2025-02-03T14:29:49.637800
deploy new nginx service,user1@example.com,deploy,,"{'cpu_limit': '100m', 'cpu_request': '50m', 'memory_limit': '56Mi', 'memory_request': '28Mi'}",,0.1.0,serv2,"['Select', 'test1']","[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': 'Please re-enter your action with the correct service name.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}]",,"{'name': 'serv2', 'blocks': [{'displayName': 'serv2', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",running,2025-02-03T14:32:23.305016
delete test,user1@example.com,delete,,"{'cpu_limit': '100m', 'cpu_request': '50m', 'memory_limit': '56Mi', 'memory_request': '28Mi'}",,0.1.0,serv2,"['Select', 'test1']","[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'Services under user1@example.com: test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': 'Please re-enter your action with the correct service name.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: serv2, tes2, u1_t1, test1'}, {'role': 'user', 'content': 'Selected service to delete: test1'}]",test1,"{'name': 'serv2', 'blocks': [{'displayName': 'serv2', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",terminated,2025-02-03T14:34:23.727554
install ngns,user2@example.com,deploy,,"{'cpu_limit': '500m', 'cpu_request': '250m', 'memory_limit': '256Mi', 'memory_request': '128Mi'}",,0.1.0,u2t,['Select'],"[{'role': 'assistant', 'content': 'Email validated: user2@example.com'}, {'role': 'assistant', 'content': 'No services found for your email.'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'No services found for your email.'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}]",,"{'name': 'u2t', 'blocks': [{'displayName': 'u2t', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",running,2025-02-03T14:40:00.617546
"i want to deploy new service, nginx",user2@example.com,deploy,,"{'cpu_limit': '500m', 'cpu_request': '250m', 'memory_limit': '256Mi', 'memory_request': '128Mi'}",,0.1.0,tewt,['Select'],"[{'role': 'assistant', 'content': 'Email validated: user2@example.com'}, {'role': 'assistant', 'content': 'No services found for your email.'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'No services found for your email.'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user2@example.com: u2t'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}]",,"{'name': 'tewt', 'blocks': [{'displayName': 'tewt', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",running,2025-02-03T14:41:16.242673
delete tes,user1@example.com,delete,,"{'cpu_limit': '', 'cpu_request': '', 'memory_limit': '', 'memory_request': ''}",,,tes2,"['Select', 'tes2', 'u1_t1', 'test1']","[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'user', 'content': 'Selected service to delete: tes2'}]",tes2,{},terminated,2025-02-03T14:42:13.241496
New nginx service ,user1@example.com,deploy,,"{'cpu_limit': '300m', 'cpu_request': '250m', 'memory_limit': '156Mi', 'memory_request': '128Mi'}",,0.1.0,us1_2,"['Select', 'tes2', 'u1_t1', 'test1']","[{'role': 'assistant', 'content': 'Email validated: user1@example.com'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'assistant', 'content': 'What action would you like to take?'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'user', 'content': 'Selected service to delete: tes2'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Services under user1@example.com: tes2, u1_t1, test1'}, {'role': 'assistant', 'content': ""Did you mean 'nginxsimplecontainer'?""}, {'role': 'assistant', 'content': ""Great! Proceeding to deploy 'nginxsimplecontainer'.""}, {'role': 'assistant', 'content': ""The service 'nginxsimplecontainer' is available in the marketplace.""}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}, {'role': 'assistant', 'content': 'Thank you! The process is complete.'}]",tes2,"{'name': 'us1_2', 'blocks': [{'displayName': 'us1_2', 'blockChartName': 'NginxSimpleContainer', 'blockChartVersion': '0.1.0', 'site_id': 'bf0a43c9-b400-4fe7-af21-33995fef86db', 'values': '\nBlock:\n  InstanceId: 12345678-9012-3456-7890-123456789012\ndeployments:\n  nginx:\n    configuration:\n      chart:\n        baseRegistryUrl: charts.bitnami.com\n        name: nginx\n        repo: bitnami\n        version: 18.2.3\n    values:\n      service:\n        httpsPort: 443\n        port: 80\n        type: NodePort\n    variables:\n      appname: nginx\nplacement:\n  site:\n    label: bf0a43c9-b400-4fe7-af21-33995fef86db'}]}",running,2025-02-03T14:43:40.517817
